org_nr,company_name,section_code,industry,county,embedding_text
5567894216,000 FlyttGiganten AB,H,,Stockholm,"Company: 000 FlyttGiganten AB. Org nr: 5567894216. Industry: -. Industry code: 49420. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5595151944,001 Badrum AB,F,,Stockholm,"Company: 001 Badrum AB. Org nr: 5595151944. Industry: -. Industry code: 41000. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5594912569,0024 Entreprenad AB,F,,Stockholm,"Company: 0024 Entreprenad AB. Org nr: 5594912569. Industry: -. Industry code: 43999. Section: -. Location: Södertälje, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5595628958,002 Node AB,K,,Stockholm,"Company: 002 Node AB. Org nr: 5595628958. Industry: -. Industry code: 62201. Section: -. Location: Täby, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5568843303,00 SWEDEN AB,J,,Västerbotten,"Company: 00 SWEDEN AB. Org nr: 5568843303. Industry: -. Industry code: 59110. Section: -. Location: Umeå, Västerbotten. Size: -. Turnover: -. Legal form: -. Status: -."
5593018814,0102 Studio AB,C,,Stockholm,"Company: 0102 Studio AB. Org nr: 5593018814. Industry: -. Industry code: 31009. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5595238352,010 Måleri AB,F,,Stockholm,"Company: 010 Måleri AB. Org nr: 5595238352. Industry: -. Industry code: 43341. Section: -. Location: Botkyrka, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5592578883,0115 Redovisning AB,N,,Västra Götaland,"Company: 0115 Redovisning AB. Org nr: 5592578883. Industry: -. Industry code: 69201. Section: -. Location: Tibro, Västra Götaland. Size: -. Turnover: -. Legal form: -. Status: -."
5595459156,011 Allservice AB,F,,Östergötland,"Company: 011 Allservice AB. Org nr: 5595459156. Industry: -. Industry code: 41000. Section: -. Location: Norrköping, Östergötland. Size: -. Turnover: -. Legal form: -. Status: -."
5591393045,011CE SWEDEN AB,N,,Skåne,"Company: 011CE SWEDEN AB. Org nr: 5591393045. Industry: -. Industry code: 74990. Section: -. Location: Lund, Skåne. Size: -. Turnover: -. Legal form: -. Status: -."
5593254120,011 Padel AB,Q,,Östergötland,"Company: 011 Padel AB. Org nr: 5593254120. Industry: -. Industry code: 85510. Section: -. Location: Norrköping, Östergötland. Size: -. Turnover: -. Legal form: -. Status: -."
5595165092,011STUDIO AB,N,,Uppsala,"Company: 011STUDIO AB. Org nr: 5595165092. Industry: -. Industry code: 71110. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
8025463350,011-TOT,T,,Östergötland,"Company: 011-TOT. Org nr: 8025463350. Industry: -. Industry code: 94990. Section: -. Location: Norrköping, Östergötland. Size: -. Turnover: -. Legal form: -. Status: -."
5164102369,0125 IAVF Investment Management filial,L,,Ej svenskt län,"Company: 0125 IAVF Investment Management filial. Org nr: 5164102369. Industry: -. Industry code: 66301. Section: -. Location: Ej svensk hemortskommun, Ej svenskt län. Size: -. Turnover: -. Legal form: -. Status: -."
5593044927,013-Communication AB,N,,Östergötland,"Company: 013-Communication AB. Org nr: 5593044927. Industry: -. Industry code: 71123. Section: -. Location: Vadstena, Östergötland. Size: -. Turnover: -. Legal form: -. Status: -."
8024926688,013-LOST IN LINE,S,,Östergötland,"Company: 013-LOST IN LINE. Org nr: 8024926688. Industry: -. Industry code: 93290. Section: -. Location: Linköping, Östergötland. Size: -. Turnover: -. Legal form: -. Status: -."
5594851734,0156 Konsult AB,F,,Södermanland,"Company: 0156 Konsult AB. Org nr: 5594851734. Industry: -. Industry code: 41000. Section: -. Location: Trosa, Södermanland. Size: -. Turnover: -. Legal form: -. Status: -."
5593067399,016 Fastighets AB,N,,Södermanland,"Company: 016 Fastighets AB. Org nr: 5593067399. Industry: -. Industry code: 73111. Section: -. Location: Eskilstuna, Södermanland. Size: -. Turnover: -. Legal form: -. Status: -."
5591887848,016 RÖRTEKNIK AB,F,,Södermanland,"Company: 016 RÖRTEKNIK AB. Org nr: 5591887848. Industry: -. Industry code: 43221. Section: -. Location: Eskilstuna, Södermanland. Size: -. Turnover: -. Legal form: -. Status: -."
5594314683,018 Entreprenad AB,F,,Uppsala,"Company: 018 Entreprenad AB. Org nr: 5594314683. Industry: -. Industry code: 43120. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
5594707977,"018 Fastighet, VVS , byggservice AB",O,,Uppsala,"Company: 018 Fastighet, VVS , byggservice AB. Org nr: 5594707977. Industry: -. Industry code: 81100. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
5594172693,018 Interiör & Design AB,G,,Uppsala,"Company: 018 Interiör & Design AB. Org nr: 5594172693. Industry: -. Industry code: 47510. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
8025175640,018 LINNEA,T,,Uppsala,"Company: 018 LINNEA. Org nr: 8025175640. Industry: -. Industry code: 94990. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
5568228638,018MÅLERI AB,F,,Uppsala,"Company: 018MÅLERI AB. Org nr: 5568228638. Industry: -. Industry code: 43341. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
5592564149,018 Maskin & Schakt AB,F,,Uppsala,"Company: 018 Maskin & Schakt AB. Org nr: 5592564149. Industry: -. Industry code: 43120. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
8176070533,018 PETANQUE SÄLLSKAP,S,,Uppsala,"Company: 018 PETANQUE SÄLLSKAP. Org nr: 8176070533. Industry: -. Industry code: 93120. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
5595483065,018 Trafikkonsult AB,Q,,Uppsala,"Company: 018 Trafikkonsult AB. Org nr: 5595483065. Industry: -. Industry code: 85530. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
5568924848,018 Ventilation AB,F,,Uppsala,"Company: 018 Ventilation AB. Org nr: 5568924848. Industry: -. Industry code: 43222. Section: -. Location: Uppsala, Uppsala. Size: -. Turnover: -. Legal form: -. Status: -."
8024581871,019 BOXING GYM IDROTTSFÖRENING,S,,Örebro,"Company: 019 BOXING GYM IDROTTSFÖRENING. Org nr: 8024581871. Industry: -. Industry code: 93120. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
5594059619,019 Holding AB,,,Örebro,"Company: 019 Holding AB. Org nr: 5594059619. Industry: -. Industry code: 00000. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
5591773931,019 Konsult AB,K,,Örebro,"Company: 019 Konsult AB. Org nr: 5591773931. Industry: -. Industry code: 62201. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
9697654706,019 Lotsen Handelsbolag,H,,Örebro,"Company: 019 Lotsen Handelsbolag. Org nr: 9697654706. Industry: -. Industry code: 49410. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
5592464993,019 Partners AB,F,,Örebro,"Company: 019 Partners AB. Org nr: 5592464993. Industry: -. Industry code: 43320. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
5592632268,019 Transport AB,H,,Örebro,"Company: 019 Transport AB. Org nr: 5592632268. Industry: -. Industry code: 49410. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
5593374332,019 -Vent AB,F,,Örebro,"Company: 019 -Vent AB. Org nr: 5593374332. Industry: -. Industry code: 41000. Section: -. Location: Örebro, Örebro. Size: -. Turnover: -. Legal form: -. Status: -."
5595763920,0&1 Clarity AB,K,,Västra Götaland,"Company: 0&1 Clarity AB. Org nr: 5595763920. Industry: -. Industry code: 62201. Section: -. Location: Göteborg, Västra Götaland. Size: -. Turnover: -. Legal form: -. Status: -."
5595009423,01 Digital Ekonomi AB,N,,Västra Götaland,"Company: 01 Digital Ekonomi AB. Org nr: 5595009423. Industry: -. Industry code: 69201. Section: -. Location: Skövde, Västra Götaland. Size: -. Turnover: -. Legal form: -. Status: -."
5569810772,01 Moderna Bad AB,N,,Stockholm,"Company: 01 Moderna Bad AB. Org nr: 5569810772. Industry: -. Industry code: 74130. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5565234191,01 Moderna Badrumsrenoveringar AB,N,,Stockholm,"Company: 01 Moderna Badrumsrenoveringar AB. Org nr: 5565234191. Industry: -. Industry code: 74130. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
